id_proposal,title_proposal,votes,scores_total,selected_choice,forum_topic_id,polarity,subjectivity
0x8112be08246466f870d0b91590fe99211f73d15cfdadac62ff3f1e6b2f74869a,Long-Term Incentives Pilot Program,23247,178955309.08206135,"Fund Program with 45,815,000",20223,0.16023396334067538,0.49469719690055625
0x813a366e287a872ada13d4f8348e771c7aa2d8c3cb00b2be31539ceab5627513,AIP: ArbOS Version 20 “Atlas”,28294,162846168.37001216,For,20957,0.10379180821014634,0.4245929248185657
0x82becb89a519f2ddb75811fbcc3b47ae8349003c126eea9039bbcef981852cb2,Stella STIP Proposal - Round 1,15649,183746532.08331972,For,17328,0.2143880519695252,0.5653892707545981
0x868a55f6dd728cde516cce81f33cfe647ab39c9b24b4cb659ab4fa31df071dc6,GMX STIP Proposal - Round 1,17577,195409160.80297872,For,17426,0.21218767368355174,0.5015139355600461
0x871bf6b01d337db95c1ac85e6ea4c4d16391bcfa3d5091453f2bc5ff467a50cc,Prime Protocol STIP Proposal - Round 1,16927,112612791.76630025,For,17192,0.08235721238981865,0.5262468246361897
0x881849ef110e3097c812cc69249f17680aa90606aac98f9d4aaf38e12b9162a0,StakeDAO STIP Proposal - Round 1,18711,125827275.28153759,For,16770,0.1307300587426983,0.42104016575083003
0x8a511e833021b64d63bf518eb9ff447216d83dac9235243f3a139f699d1f98ee,OpenOcean STIP Proposal - Round 1,16616,187704115.449478,For,17564,0.06336000937510357,0.5633590210235089
0x8ca12ce0c337ef44a7301455197ece2948c9223528a4197ad3ede6960caa6f4a,KyberSwap STIP Proposal - Round 1,17033,176554459.58876508,For,17317,0.16007237761042506,0.5197759469149411
0x8e7ef50a5d0e27635db8d82bae9d0f9e991ca5188b3411ee62814559ad5f7aaa,WOOFi STIP Proposal - Round 1,19465,176232846.88399366,For,17043,0.1466772130779212,0.5072345448634857
0x921c3d57deb2f3c84918ca3fb57479d38650b979b5902895c5822649ed86b716,Proposal: Build Optimal Onboarding for STIP Teams (BOOST),43576,129148496.12180693,Against,19114,0.16462210477304398,0.4751691942239713
0x93ba405db28122f4d7c1501bb06f9d606320caee1fb4e73dd1baaf05e8d02c01,Gamma STIP Proposal - Round 1,18121,179734608.58994058,For,16691,0.19160065214089667,0.5175822576188231
0x96e92f4bfd50d08f61dae5f36440b9bc2fbad67ccf8e5b210268663f9261c159,tBTC STIP Proposal - Round 1,16981,110697378.79549786,Against,17022,0.08122013022968173,0.5215153882201224
0x97f1ffcf2fb02b4adb55807641dc1f8aecceeeed7c446dfebbd63dbf2a636fa4,Perennial Finance STIP Proposal - Round 1,18045,189497334.6063471,For,17388,0.19356828520160377,0.49434822169516046
0x9abaac4d02728258a41777cce8c1803403072d8116306f95317f89a7cb181ec6,Arrakis Finance STIP Proposal - Round 1,17395,140750831.22495165,For,16565,0.1503518368035544,0.48020398578894785
0x9ae13a0a2610f70bcb9e946777c6a6add1c42db3b600514577f2abf23061d2ae,Relay Chain: James Bot STIP Proposal - Round 1,17145,113419175.0689923,Against,17546,0.09356152654933143,0.3634895870276968
0x9d7f0e85fd3f85238888dbb55151bfe4f9b7afdef418cf33128071c755281dc7,Savvy STIP Proposal - Round 1,16238,180596218.4636364,For,16854,0.15459649679287463,0.4674536592931479
